t,sensor_id,sensor_name,sx,sy,modes,temp_c,co_ppm,co2_ppm,h2_ppm,gas_total_ppm,battery,active,efficiency,range_tiles,limit,max_limit,threat_active,threat_area,threat_points_count
30.0,1,,101,94,TEMP,77.84,0.0,0.0,0.0,0.0,3704.0,1,80,6,10,40,1,62.760083,16
31.0,1,,101,94,TEMP,71.69,0.0,0.0,0.0,0.0,3660.8,1,80,6,9,40,1,62.760083,16
32.0,1,,101,94,TEMP,74.87,0.0,0.0,0.0,0.0,3617.6,1,80,6,8,40,1,62.760083,16
33.0,1,,101,94,TEMP,112.3,0.0,0.0,0.0,0.0,3574.4,1,80,6,7,40,1,78.641445,16
34.0,1,,101,94,TEMP,109.18,0.0,0.0,0.0,0.0,3531.2,1,80,6,6,40,1,78.641445,16
35.0,1,,101,94,TEMP,109.97,0.0,0.0,0.0,0.0,3488.0,1,80,6,5,40,1,78.641445,16
36.0,1,,101,94,TEMP,118.78,0.0,0.0,0.0,0.0,3444.8,1,80,6,4,40,1,78.641445,16
37.0,1,,101,94,TEMP,115.33,0.0,0.0,0.0,0.0,3401.6,1,80,6,3,40,1,80.554863,16
38.0,1,,101,94,TEMP,116.06,0.0,0.0,0.0,0.0,3358.4,1,80,6,2,40,1,80.554863,16
39.0,1,,101,94,TEMP,127.17,0.0,0.0,0.0,0.0,3315.2,1,80,6,1,40,1,80.554863,16
40.0,1,,101,94,TEMP,115.39,0.0,0.0,0.0,0.0,3272.0,1,80,6,0,40,1,80.554863,16
41.0,1,,101,94,TEMP,115.76,0.0,0.0,0.0,0.0,3228.8,1,80,6,0,40,1,80.554863,16
42.0,1,,101,94,TEMP,118.67,0.0,0.0,0.0,0.0,3185.6,1,80,6,0,40,1,80.554863,16
43.0,1,,101,94,TEMP,118.38,0.0,0.0,0.0,0.0,3142.4,1,80,6,0,40,1,80.554863,16
44.0,1,,101,94,TEMP,126.92,0.0,0.0,0.0,0.0,3099.2,1,80,6,0,40,1,80.554863,16
45.0,1,,101,94,TEMP,124.66,0.0,0.0,0.0,0.0,3056.0,1,80,6,0,40,1,80.554863,16
46.0,1,,101,94,TEMP,118.7,0.0,0.0,0.0,0.0,3012.8,1,80,6,0,40,1,80.554863,16
47.0,1,,101,94,TEMP,117.22,0.0,0.0,0.0,0.0,2969.6,1,80,6,0,40,1,80.554863,16
48.0,1,,101,94,TEMP,121.96,0.0,0.0,0.0,0.0,2926.4,1,80,6,14,40,1,80.554863,16
49.0,1,,101,94,TEMP,116.17,0.0,0.0,0.0,0.0,2883.2,1,80,6,23,40,1,80.554863,16
50.0,1,,101,94,TEMP,122.0,0.0,0.0,0.0,0.0,2840.0,1,80,6,22,40,1,80.554863,16
51.0,1,,101,94,TEMP,119.46,0.0,0.0,0.0,0.0,2796.8,1,80,6,21,40,1,80.554863,16
52.0,1,,101,94,TEMP,115.18,0.0,0.0,0.0,0.0,2753.6,1,80,6,20,40,1,80.554863,16
53.0,1,,101,94,TEMP,126.88,0.0,0.0,0.0,0.0,2710.4,1,80,6,39,40,1,80.554863,16
54.0,1,,101,94,TEMP,115.62,0.0,0.0,0.0,0.0,2667.2,1,80,6,38,40,1,80.554863,16
55.0,1,,101,94,TEMP,124.99,0.0,0.0,0.0,0.0,2624.0,1,80,6,37,40,1,80.554863,16
56.0,1,,101,94,TEMP,123.25,0.0,0.0,0.0,0.0,2580.8,1,80,6,36,40,1,80.554863,16
57.0,1,,101,94,TEMP,118.8,0.0,0.0,0.0,0.0,2537.6,1,80,6,35,40,1,80.554863,16
58.0,1,,101,94,TEMP,117.76,0.0,0.0,0.0,0.0,2494.4,1,80,6,34,40,1,80.554863,16
59.0,1,,101,94,TEMP,127.18,0.0,0.0,0.0,0.0,2451.2,1,80,6,33,40,1,80.554863,16
60.0,1,,101,94,TEMP,117.29,0.0,0.0,0.0,0.0,2408.0,1,80,6,32,40,1,80.554863,16
61.0,1,,101,94,TEMP,122.05,0.0,0.0,0.0,0.0,2364.8,1,80,6,31,40,1,80.554863,16
62.0,1,,101,94,TEMP,119.8,0.0,0.0,0.0,0.0,2321.6,1,80,6,30,40,1,80.554863,16
63.0,1,,101,94,TEMP,127.18,0.0,0.0,0.0,0.0,2278.4,1,80,6,29,40,1,80.554863,16
64.0,1,,101,94,TEMP,125.67,0.0,0.0,0.0,0.0,2235.2,1,80,6,28,40,1,80.554863,16
65.0,1,,101,94,TEMP,126.08,0.0,0.0,0.0,0.0,2192.0,1,80,6,27,40,1,80.554863,16
66.0,1,,101,94,TEMP,120.91,0.0,0.0,0.0,0.0,2148.8,1,80,6,26,40,1,80.554863,16
67.0,1,,101,94,TEMP,161.37,0.0,0.0,0.0,0.0,2105.6,1,80,6,25,40,1,80.554863,16
68.0,1,,101,94,TEMP,151.9,0.0,0.0,0.0,0.0,2062.4,1,80,6,24,40,1,80.554863,16
69.0,1,,101,94,TEMP,156.31,0.0,0.0,0.0,0.0,2019.2,1,80,6,23,40,1,80.554863,16
70.0,1,,101,94,TEMP,161.4,0.0,0.0,0.0,0.0,1976.0,1,80,6,22,40,1,80.554863,16
71.0,1,,101,94,TEMP,164.95,0.0,0.0,0.0,0.0,1932.8,1,80,6,21,40,1,80.554863,16
