t,sensor_id,sx,sy,temp,gas,battery,active,efficiency,range_tiles,threat_active,threat_area,threat_points_count
14.0,1,97,89,0.0,0.0,4395.200000000003,1,80,6,0,0.0,0
15.0,1,97,89,0.0,0.0,4352.000000000003,1,80,6,0,0.0,0
15.0,1,97,89,0.0,0.0,4352.000000000003,1,80,6,0,0.0,0
16.0,1,97,89,0.0,0.0,4308.800000000003,1,80,6,0,0.0,0
16.0,1,97,89,0.0,0.0,4308.800000000003,1,80,6,0,0.0,0
17.0,1,97,89,0.0,0.0,4265.600000000003,1,80,6,0,0.0,0
17.0,1,97,89,0.0,0.0,4265.600000000003,1,80,6,0,0.0,0
18.0,1,97,89,0.0,0.0,4222.400000000003,1,80,6,0,0.0,0
18.0,1,97,89,0.0,0.0,4222.400000000003,1,80,6,0,0.0,0
19.0,1,97,89,0.0,0.0,4179.2000000000035,1,80,6,0,0.0,0
19.0,1,97,89,0.0,0.0,4179.2000000000035,1,80,6,0,0.0,0
20.0,1,97,89,0.0,0.0,4136.000000000004,1,80,6,0,0.0,0
20.0,1,97,89,0.0,0.0,4136.000000000004,1,80,6,0,0.0,0
21.0,1,97,89,0.15441558772842864,0.0,4092.800000000004,1,80,6,0,0.0,0
21.0,1,97,89,0.15441558772842864,0.0,4092.800000000004,1,80,6,0,0.0,0
22.0,1,97,89,0.7333747416002019,0.0,4049.600000000004,1,80,6,0,0.0,0
22.0,1,97,89,0.7333747416002019,0.0,4049.600000000004,1,80,6,0,0.0,0
23.0,1,97,89,0.0,0.0,4006.400000000004,1,80,6,0,0.0,0
23.0,1,97,89,0.0,0.0,4006.400000000004,1,80,6,0,0.0,0
24.0,1,97,89,0.0,0.0,3963.2000000000044,1,80,6,0,0.0,0
24.0,1,97,89,0.0,0.0,3963.2000000000044,1,80,6,0,0.0,0
25.0,1,97,89,0.0,0.0,3920.0000000000045,1,80,6,0,0.0,0
25.0,1,97,89,0.0,0.0,3920.0000000000045,1,80,6,0,0.0,0
26.0,1,97,89,0.0,0.0,3876.8000000000047,1,80,6,0,0.0,0
26.0,1,97,89,0.0,0.0,3876.8000000000047,1,80,6,0,0.0,0
27.0,1,97,89,0.5147186257614288,0.0,3833.600000000005,1,80,6,0,0.0,0
27.0,1,97,89,0.5147186257614288,0.0,3833.600000000005,1,80,6,0,0.0,0
28.0,1,97,89,6.533392488000288,0.0,3790.400000000005,1,80,6,0,0.0,0
28.0,1,97,89,6.533392488000288,0.0,3790.400000000005,1,80,6,0,0.0,0
29.0,1,97,89,2.9612121670004923,0.0,3747.2000000000053,1,80,6,0,0.0,0
29.0,1,97,89,2.9612121670004923,0.0,3747.2000000000053,1,80,6,0,0.0,0
30.0,1,97,89,0.0,0.0,3704.0000000000055,1,80,6,0,0.0,0
30.0,1,97,89,0.0,0.0,3704.0000000000055,1,80,6,0,0.0,0
31.0,1,97,89,0.0,0.0,4910.800000000006,1,80,6,0,0.0,0
31.0,1,97,89,0.0,0.0,4910.800000000006,1,80,6,0,0.0,0
32.0,1,97,89,0.0,0.0,5367.600000000006,1,80,6,0,0.0,0
32.0,1,97,89,0.0,0.0,5367.600000000006,1,80,6,0,0.0,0
33.0,1,97,89,0.0,0.0,5290.800000000006,1,80,8,0,0.0,0
33.0,1,97,89,0.0,0.0,5290.800000000006,1,80,8,0,0.0,0
34.0,1,97,89,0.0,0.0,5214.0000000000055,1,80,8,0,0.0,0
34.0,1,97,89,0.0,0.0,5214.0000000000055,1,80,8,0,0.0,0
35.0,1,97,89,0.5307065340211179,0.0,5137.200000000005,1,80,8,0,0.0,0
35.0,1,97,89,0.5307065340211179,0.0,5137.200000000005,1,80,8,0,0.0,0
36.0,1,97,89,3.9763542201707556,0.0,5060.400000000005,1,80,8,0,0.0,0
36.0,1,97,89,3.9763542201707556,0.0,5060.400000000005,1,80,8,0,0.0,0
37.0,1,97,89,6.857142857142858,0.0,4983.600000000005,1,80,8,0,0.0,0
37.0,1,97,89,6.857142857142858,0.0,4983.600000000005,1,80,8,0,0.0,0
38.0,1,97,89,3.9763542201707556,0.0,4906.800000000005,1,80,8,0,0.0,0
38.0,1,97,89,3.9763542201707556,0.0,4906.800000000005,1,80,8,0,0.0,0
39.0,1,97,89,0.7206865833371137,0.0,4830.000000000005,1,80,8,0,0.0,0
39.0,1,97,89,0.7206865833371137,0.0,4830.000000000005,1,80,8,0,0.0,0
40.0,1,97,89,0.0,0.0,4753.200000000004,1,80,8,0,0.0,0
40.0,1,97,89,0.0,0.0,4753.200000000004,1,80,8,0,0.0,0
41.0,1,97,89,0.7206865833371137,0.0,4676.400000000004,1,80,8,0,0.0,0
41.0,1,97,89,0.7206865833371137,0.0,4676.400000000004,1,80,8,0,0.0,0
42.0,1,97,89,4.93421443692637,0.0,4599.600000000004,1,80,8,0,0.0,0
42.0,1,97,89,4.93421443692637,0.0,4599.600000000004,1,80,8,0,0.0,0
43.0,1,97,89,6.857142857142858,0.0,4522.800000000004,1,80,8,0,0.0,0
43.0,1,97,89,6.857142857142858,0.0,4522.800000000004,1,80,8,0,0.0,0
44.0,1,97,89,3.9763542201707556,0.0,4446.000000000004,1,80,8,0,0.0,0
44.0,1,97,89,3.9763542201707556,0.0,4446.000000000004,1,80,8,0,0.0,0
45.0,1,97,89,0.5307065340211179,0.0,4369.2000000000035,1,80,8,0,0.0,0
45.0,1,97,89,0.5307065340211179,0.0,4369.2000000000035,1,80,8,0,0.0,0
46.0,1,97,89,0.0,0.0,4292.400000000003,1,80,8,0,0.0,0
46.0,1,97,89,0.0,0.0,4292.400000000003,1,80,8,0,0.0,0
47.0,1,97,89,0.0,0.0,4215.600000000003,1,80,8,0,0.0,0
47.0,1,97,89,0.0,0.0,4215.600000000003,1,80,8,0,0.0,0
48.0,1,97,89,0.0,0.0,4138.800000000003,1,80,8,0,0.0,0
48.0,1,97,89,0.0,0.0,4138.800000000003,1,80,8,0,0.0,0
